District/ Barangay,City/ Major Area,zip_code,PORT CODE,ODZ FLAG
ABILAN,BUENAVISTA,3111,BXU1,DEL
AGONG-ONG,BUENAVISTA,6011,BXU1,DEL
BARANGAY 1,BUENAVISTA,5033,BXU1,DEL
BARANGAY 10,BUENAVISTA,,BXU1,DEL
BARANGAY 2,BUENAVISTA,,BXU1,DEL
BARANGAY 3,BUENAVISTA,,BXU1,DEL
BARANGAY 4,BUENAVISTA,,BXU1,DEL
BARANGAY 5,BUENAVISTA,,BXU1,DEL
BARANGAY 6,BUENAVISTA,,BXU1,DEL
BARANGAY 7,BUENAVISTA,,BXU1,DEL
BARANGAY 8,BUENAVISTA,,BXU1,DEL
BARANGAY 9,BUENAVISTA,,BXU1,DEL
MANAPA,BUENAVISTA,,BXU1,DEL
MATABAO,BUENAVISTA,,BXU1,DEL
POBLACION,BUENAVISTA,,BXU1,DEL
RIZAL,BUENAVISTA,,BXU1,DEL
SACOL,BUENAVISTA,,BXU1,DEL
TALA-AO,BUENAVISTA,,BXU1,DEL
TINAGO,BUENAVISTA,,BXU1,DEL
AGUSAN PEQUENO DISTRICT,BUTUAN,,BXU1,DEL
AMBAGO,BUTUAN,,BXU1,DEL
AMPARO,BUTUAN,,BXU1,DEL
AMPAYON,BUTUAN,,BXU1,DEL
ANTONGALON,BUTUAN,,BXU1,DEL
BAAN,BUTUAN,,BXU1,DEL
BABAG,BUTUAN,,BXU1,DEL
BADING DISTRICT,BUTUAN,,BXU1,DEL
BANZA,BUTUAN,,BXU1,DEL
BASAG,BUTUAN,,BXU1,DEL
BINGKILAN,BUTUAN,,BXU1,DEL
BIT-OS,BUTUAN,,BXU1,DEL
BOBON,BUTUAN,,BXU1,DEL
BUHANGIN,BUTUAN,,BXU1,DEL
CABCABON,BUTUAN,,BXU1,DEL
CAMP BANGCASI,BUTUAN,,BXU1,DEL
D M P I RIVERSIDE,BUTUAN,,BXU1,DEL
DALINGDINGAN,BUTUAN,,BXU1,DEL
DANKIAS,BUTUAN,,BXU1,DEL
DOONGAN LOWER,BUTUAN,,BXU1,DEL
DOONGAN UPPER,BUTUAN,,BXU1,DEL
DULAG,BUTUAN,,BXU1,DEL
DUMALAGAN,BUTUAN,,BXU1,DEL
EAST MINDANAO DISTRICT,BUTUAN,,BXU1,DEL
GOLDEN RIBBON,BUTUAN,,BXU1,DEL
KAPIGTAAN,BUTUAN,,BXU1,DEL
KINAMLUTAN,BUTUAN,,BXU1,DEL
LANGIHAN,BUTUAN,,BXU1,DEL
LEMON,BUTUAN,,BXU1,DEL
LIBERTAD,BUTUAN,,BXU1,DEL
LOS ANGELES PROPER,BUTUAN,,BXU1,DEL
LOWER PINAMANGKULAN,BUTUAN,,BXU1,DEL
LUMBUCAN,BUTUAN,,BXU1,DEL
MAHAY,BUTUAN,,BXU1,DEL
MAHOGANY,BUTUAN,,BXU1,DEL
MANDACPAN,BUTUAN,,BXU1,DEL
MAON DISTRICT,BUTUAN,,BXU1,DEL
MASAO,BUTUAN,,BXU1,DEL
MAUG,BUTUAN,,BXU1,DEL
NEW ASIA MINDANAO DISTRICT,BUTUAN,,BXU1,DEL
OBRERO DISTRICT,BUTUAN,,BXU1,DEL
ONG YIU DISTRICT,BUTUAN,,BXU1,DEL
PAGATPATAN,BUTUAN,,BXU1,DEL
PANGABUGAN,BUTUAN,,BXU1,DEL
PHILIPPINE MATCH,BUTUAN,,BXU1,DEL
PIGDAULAN,BUTUAN,,BXU1,DEL
SAN MATEO,BUTUAN,,BXU1,DEL
SAN VICENTE PROPER,BUTUAN,,BXU1,DEL
SUMILIHON HIGH-WAY,BUTUAN,,BXU1,DEL
TAGANAHAN,BUTUAN,,BXU1,DEL
TAGUIBO PROPER,BUTUAN,,BXU1,DEL
TALIGAMAN PROPER,BUTUAN,,BXU1,DEL
TINIWISAN,BUTUAN,,BXU1,DEL
TUNGAO,BUTUAN,,BXU1,DEL
VILLA KANANGA,BUTUAN,,BXU1,DEL
BAY-ANG,CABADBARAN,,BXU1,DEL
CAASINAN,CABADBARAN,,BXU1,DEL
CABINET,CABADBARAN,,BXU1,DEL
CALIBUNAN,CABADBARAN,,BXU1,DEL
COMAGASCAS,CABADBARAN,,BXU1,DEL
DEL PILAR PROPER,CABADBARAN,,BXU1,DEL
DINABUKAN,CABADBARAN,,BXU1,DEL
HINAGDANAN,CABADBARAN,,BXU1,DEL
KATUGASAN LOWER,CABADBARAN,,BXU1,DEL
KAUSWAGAN,CABADBARAN,,BXU1,DEL
LA UNION,CABADBARAN,,BXU1,DEL
MABINI,CABADBARAN,,BXU1,DEL
POBLACION 1,CABADBARAN,,BXU1,DEL
POBLACION 10,CABADBARAN,,BXU1,DEL
POBLACION 11,CABADBARAN,,BXU1,DEL
POBLACION 12,CABADBARAN,,BXU1,DEL
POBLACION 2,CABADBARAN,,BXU1,DEL
POBLACION 3,CABADBARAN,,BXU1,DEL
POBLACION 4,CABADBARAN,,BXU1,DEL
POBLACION 5,CABADBARAN,,BXU1,DEL
POBLACION 6,CABADBARAN,,BXU1,DEL
POBLACION 7,CABADBARAN,,BXU1,DEL
POBLACION 8,CABADBARAN,,BXU1,DEL
POBLACION 9,CABADBARAN,,BXU1,DEL
SANGHAN,CABADBARAN,,BXU1,DEL
SORIANO,CABADBARAN,,BXU1,DEL
TOLOSA,CABADBARAN,,BXU1,DEL
BOLIHON,CARMEN,,BXU1,DEL
CABATUAN,CARMEN,,BXU1,DEL
LOOC,CARMEN,,BXU1,DEL
POBLACION PROPER,CARMEN,,BXU1,DEL
ROJALES,CARMEN,,BXU1,DEL
TA-AO,CARMEN,,BXU1,DEL
TAGCATONG,CARMEN,,BXU1,DEL
TAPON,CARMEN,,BXU1,DEL
TUBOD,CARMEN,,BXU1,DEL
BALIGUIAN,JABONGA,,BXU1,DEL
BANGUNAY,JABONGA,,BXU1,DEL
CUYAGO,JABONGA,,BXU1,DEL
LIBAS,JABONGA,,BXU1,DEL
POBLACION,JABONGA,,BXU1,DEL
BLISS,KITCHARAO,,BXU1,DEL
CORBADA,KITCHARAO,,BXU1,DEL
LAPOKON,KITCHARAO,,BXU1,DEL
MAHAYAHAY LOWER,KITCHARAO,,BXU1,DEL
POBLACION,KITCHARAO,,BXU1,DEL
SISON,KITCHARAO,,BXU1,DEL
SUNGKOG,KITCHARAO,,BXU1,DEL
BUHANG,MAGALLANES,,BXU1,DEL
DAHICAN,MAGALLANES,,BXU1,DEL
POBLACION,MAGALLANES,,BXU1,DEL
SITIO CALOC-AN,MAGALLANES,,BXU1,DEL
ACLAN,NASIPIT,,BXU1,DEL
AMONTAY,NASIPIT,,BXU1,DEL
ATA-ATAHON,NASIPIT,,BXU1,DEL
CAMAGONG,NASIPIT,,BXU1,DEL
CUBI-CUBI,NASIPIT,,BXU1,DEL
KINABJANGAN,NASIPIT,,BXU1,DEL
POBLACION 1,NASIPIT,,BXU1,DEL
POBLACION 2,NASIPIT,,BXU1,DEL
POBLACION 3,NASIPIT,,BXU1,DEL
POBLACION 4,NASIPIT,,BXU1,DEL
POBLACION 5,NASIPIT,,BXU1,DEL
POBLACION 6,NASIPIT,,BXU1,DEL
POBLACION 7,NASIPIT,,BXU1,DEL
PUNTA,NASIPIT,,BXU1,DEL
SAN JUAN,NASIPIT,,BXU1,DEL
TALISAY,NASIPIT,,BXU1,DEL
TRIANGULO,NASIPIT,,BXU1,DEL
POBLACION,RUMUALDEZ,,BXU1,DEL
SANGHAN,RUMUALDEZ,,BXU1,DEL
CURVA,SANTIAGO,,BXU1,DEL
JAGUPIT,SANTIAGO,,BXU1,DEL
POBLACION 1,SANTIAGO,,BXU1,DEL
POBLACION 2,SANTIAGO,,BXU1,DEL
SAN ISIDRO,SANTIAGO,,BXU1,DEL
TAGBUYACAN,SANTIAGO,,BXU1,DEL
DONA ROSARIO,TUBAY,,BXU1,DEL
POBLACION,TUBAY,,BXU1,DEL
SANTA ANA,TUBAY,,BXU1,DEL
TAGMAMARKAY,TUBAY,,BXU1,DEL
VICTORY,TUBAY,,BXU1,DEL
AMONGON,BAYUGAN,,BXU2,DEL
ANDANAN,BAYUGAN,,BXU2,DEL
BEDCOR COMPOUND,BAYUGAN,,BXU2,DEL
BLISS PROJECT,BAYUGAN,,BXU2,DEL
CAGBAS,BAYUGAN,,BXU2,DEL
CANAYUGAN,BAYUGAN,,BXU2,DEL
CATAMURA SUBDIVISION,BAYUGAN,,BXU2,DEL
CONSALVIBEN,BAYUGAN,,BXU2,DEL
CROSSING JCA,BAYUGAN,,BXU2,DEL
CROSSING MAYGATASAN,BAYUGAN,,BXU2,DEL
CROSSING RCA,BAYUGAN,,BXU2,DEL
CURVADA,BAYUGAN,,BXU2,DEL
FILI,BAYUGAN,,BXU2,DEL
GREEN VILLAGE SUBDIVISION,BAYUGAN,,BXU2,DEL
HAMOGAWAY,BAYUGAN,,BXU2,DEL
JCA RUBBER PLANT,BAYUGAN,,BXU2,DEL
MABUHAY,BAYUGAN,,BXU2,DEL
MAYGATASAN,BAYUGAN,,BXU2,DEL
NOLI,BAYUGAN,,BXU2,DEL
NOLI WAWA,BAYUGAN,,BXU2,DEL
OSMENA,BAYUGAN,,BXU2,DEL
POBLACION,BAYUGAN,,BXU2,DEL
ROTONDA,BAYUGAN,,BXU2,DEL
SALVACION PROPER,BAYUGAN,,BXU2,DEL
SANTA TERESITA OR JCA,BAYUGAN,,BXU2,DEL
STA IRENE,BAYUGAN,,BXU2,DEL
TAGLATAWAN,BAYUGAN,,BXU2,DEL
TAGUBAY,BAYUGAN,,BXU2,DEL
WAWA,BAYUGAN,,BXU2,DEL
WEST BAYUGAN,BAYUGAN,,BXU2,DEL
1403 DETACHMENT,BUNAWAN,,BXU2,DEL
ASSCAT COMPOUND,BUNAWAN,,BXU2,DEL
BINAHANAN,BUNAWAN,,BXU2,DEL
BLISS PROJECT,BUNAWAN,,BXU2,DEL
BUNAWAN BROOKS,BUNAWAN,,BXU2,DEL
CONSUELO,BUNAWAN,,BXU2,DEL
CROSSING HUBANG,BUNAWAN,,BXU2,DEL
LIBERTAD,BUNAWAN,,BXU2,DEL
LOG POND,BUNAWAN,,BXU2,DEL
PNP PROVINCIAL SUB STATION,BUNAWAN,,BXU2,DEL
POBLACION,BUNAWAN,,BXU2,DEL
SAN ANDRES,BUNAWAN,,BXU2,DEL
SAN TEODORO,BUNAWAN,,BXU2,DEL
SINGANAN,BUNAWAN,,BXU2,DEL
SITIO BAROBO,BUNAWAN,,BXU2,DEL
CROSSING LUNA,ESPERANZA,,BXU2,DEL
DACUTAN,ESPERANZA,,BXU2,DEL
PIGLAWIGAN,ESPERANZA,,BXU2,DEL
POBLACION,ESPERANZA,,BXU2,DEL
402 BRIGADE,PROSPERIDAD,,BXU2,DEL
AWA,PROSPERIDAD,,BXU2,DEL
CAPITOL SITE,PROSPERIDAD,,BXU2,DEL
CBL,PROSPERIDAD,,BXU2,DEL
CROSSING TALACOGON,PROSPERIDAD,,BXU2,DEL
DOPMH COMPOUND,PROSPERIDAD,,BXU2,DEL
GOVERNMENT CENTER,PROSPERIDAD,,BXU2,DEL
LA CARIDAD RD.,PROSPERIDAD,,BXU2,DEL
LA SUERTE,PROSPERIDAD,,BXU2,DEL
LAS NAVAS,PROSPERIDAD,,BXU2,DEL
LUCENA,PROSPERIDAD,,BXU2,DEL
MAPAGA,PROSPERIDAD,,BXU2,DEL
NEW LEYTE,PROSPERIDAD,,BXU2,DEL
PATIN-AY,PROSPERIDAD,,BXU2,DEL
PNU CAMPUS,PROSPERIDAD,,BXU2,DEL
POBLACION,PROSPERIDAD,,BXU2,DEL
PUROK 1,PROSPERIDAD,,BXU2,DEL
PUROK 10,PROSPERIDAD,,BXU2,DEL
PUROK 11,PROSPERIDAD,,BXU2,DEL
PUROK 12,PROSPERIDAD,,BXU2,DEL
PUROK 13,PROSPERIDAD,,BXU2,DEL
PUROK 14,PROSPERIDAD,,BXU2,DEL
PUROK 15,PROSPERIDAD,,BXU2,DEL
PUROK 16,PROSPERIDAD,,BXU2,DEL
PUROK 17,PROSPERIDAD,,BXU2,DEL
PUROK 18,PROSPERIDAD,,BXU2,DEL
PUROK 19,PROSPERIDAD,,BXU2,DEL
PUROK 2,PROSPERIDAD,,BXU2,DEL
PUROK 20,PROSPERIDAD,,BXU2,DEL
PUROK 21,PROSPERIDAD,,BXU2,DEL
PUROK 22,PROSPERIDAD,,BXU2,DEL
PUROK 23,PROSPERIDAD,,BXU2,DEL
PUROK 24,PROSPERIDAD,,BXU2,DEL
PUROK 25,PROSPERIDAD,,BXU2,DEL
PUROK 26,PROSPERIDAD,,BXU2,DEL
PUROK 27,PROSPERIDAD,,BXU2,DEL
PUROK 28,PROSPERIDAD,,BXU2,DEL
PUROK 3,PROSPERIDAD,,BXU2,DEL
PUROK 4,PROSPERIDAD,,BXU2,DEL
PUROK 5,PROSPERIDAD,,BXU2,DEL
PUROK 6,PROSPERIDAD,,BXU2,DEL
PUROK 7,PROSPERIDAD,,BXU2,DEL
PUROK 8,PROSPERIDAD,,BXU2,DEL
PUROK 9,PROSPERIDAD,,BXU2,DEL
SALVACION,PROSPERIDAD,,BXU2,DEL
SAN JOSE,PROSPERIDAD,,BXU2,DEL
SAN RAFAEL,PROSPERIDAD,,BXU2,DEL
SAN SALVADOR,PROSPERIDAD,,BXU2,DEL
SANTA IRENE,PROSPERIDAD,,BXU2,DEL
SANTA MARIA,PROSPERIDAD,,BXU2,DEL
SITIO LOGDECK,PROSPERIDAD,,BXU2,DEL
SITIO MIPIL,PROSPERIDAD,,BXU2,DEL
SITIO SALVACION,PROSPERIDAD,,BXU2,DEL
SITIO TAGLIMAO,PROSPERIDAD,,BXU2,DEL
ANOLING,ROSARIO,,BXU2,DEL
BAYUGAN 3,ROSARIO,,BXU2,DEL
CANOLING,ROSARIO,,BXU2,DEL
CONSUELO,ROSARIO,,BXU2,DEL
KALILANGAN,ROSARIO,,BXU2,DEL
LIBUAC,ROSARIO,,BXU2,DEL
PAGIDUSAN,ROSARIO,,BXU2,DEL
PBCC COMPOUND,ROSARIO,,BXU2,DEL
POBLACION,ROSARIO,,BXU2,DEL
POBLACION ROSARIO,ROSARIO,,BXU2,DEL
SITIO PADIGUSAN,ROSARIO,,BXU2,DEL
STA CRUZ,ROSARIO,,BXU2,DEL
WASIAN,ROSARIO,,BXU2,DEL
ALEGRIA,SAN FRANCISCO,,BXU2,DEL
ALEGRIA,SAN FRANCISCO,,BXU2,DEL
ALEGRIA,SAN FRANCISCO,,BXU2,DEL
ALEGRIA,SAN FRANCISCO,,BXU2,DEL
ALEGRIA,SAN FRANCISCO,,BXU2,DEL
ALEGRIA,SAN FRANCISCO,,BXU2,DEL
ALEGRIA,SAN FRANCISCO,,BXU2,DEL
ALEGRIA,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 1,SAN FRANCISCO,,BXU2,DEL
BARANGAY 2,SAN FRANCISCO,,BXU2,DEL
BARANGAY 2,SAN FRANCISCO,,BXU2,DEL
BARANGAY 2,SAN FRANCISCO,,BXU2,DEL
BARANGAY 2,SAN FRANCISCO,,BXU2,DEL
BARANGAY 2,SAN FRANCISCO,,BXU2,DEL
BARANGAY 2,SAN FRANCISCO,,BXU2,DEL
BARANGAY 2,SAN FRANCISCO,,BXU2,DEL
BARANGAY 3,SAN FRANCISCO,,BXU2,DEL
BARANGAY 3,SAN FRANCISCO,,BXU2,DEL
BARANGAY 3,SAN FRANCISCO,,BXU2,DEL
BARANGAY 3,SAN FRANCISCO,,BXU2,DEL
BARANGAY 3,SAN FRANCISCO,,BXU2,DEL
BARANGAY 3,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 4,SAN FRANCISCO,,BXU2,DEL
BARANGAY 5,SAN FRANCISCO,,BXU2,DEL
BARANGAY 5,SAN FRANCISCO,,BXU2,DEL
BARANGAY 5,SAN FRANCISCO,,BXU2,DEL
BARANGAY 5,SAN FRANCISCO,,BXU2,DEL
BARANGAY 5,SAN FRANCISCO,,BXU2,DEL
BARRIO PIKAS,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 1,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 2,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 2,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 2,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 2,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 2,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 2,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 2,SAN FRANCISCO,,BXU2,DEL
BAYUGAN 2,SAN FRANCISCO,,BXU2,DEL
BUNAWAN,SAN FRANCISCO,,BXU2,DEL
BUNAWAN BROOKS,SAN FRANCISCO,,BXU2,DEL
HUBANG,SAN FRANCISCO,,BXU2,DEL
KARAOS,SAN FRANCISCO,,BXU2,DEL
LAPINIGAN,SAN FRANCISCO,,BXU2,DEL
LAPINIGAN,SAN FRANCISCO,,BXU2,DEL
LAPINIGAN,SAN FRANCISCO,,BXU2,DEL
LAPINIGAN,SAN FRANCISCO,,BXU2,DEL
LAPINIGAN,SAN FRANCISCO,,BXU2,DEL
LAPINIGAN,SAN FRANCISCO,,BXU2,DEL
LIBERTAD,SAN FRANCISCO,,BXU2,DEL
MOTOR POOL,SAN FRANCISCO,,BXU2,DEL
MOTOR POOL,SAN FRANCISCO,,BXU2,DEL
MOTOR POOL,SAN FRANCISCO,,BXU2,DEL
MOTOR POOL,SAN FRANCISCO,,BXU2,DEL
MOTOR POOL,SAN FRANCISCO,,BXU2,DEL
PASTA,SAN FRANCISCO,,BXU2,DEL
PASTA,SAN FRANCISCO,,BXU2,DEL
PASTA,SAN FRANCISCO,,BXU2,DEL
PASTA,SAN FRANCISCO,,BXU2,DEL
PASTA,SAN FRANCISCO,,BXU2,DEL
PATIN-AY,SAN FRANCISCO,,BXU2,DEL
PISA-AN,SAN FRANCISCO,,BXU2,DEL
POBLACION,SAN FRANCISCO,,BXU2,DEL
PUROK MANGA LAPINIGAN,SAN FRANCISCO,,BXU2,DEL
ROSARIO,SAN FRANCISCO,,BXU2,DEL
SAN ISIDRO,SAN FRANCISCO,,BXU2,DEL
SANTA ANA,SAN FRANCISCO,,BXU2,DEL
TAGLIGID,SAN FRANCISCO,,BXU2,DEL
LOWER ANGAS,SANTA JOSEFA,,BXU2,DEL
POBLACION,SANTA JOSEFA,,BXU2,DEL
SAN JOSE,SANTA JOSEFA,,BXU2,DEL
STA ISABEL,SANTA JOSEFA,,BXU2,DEL
TIMBERLAND,SANTA JOSEFA,,BXU2,DEL
POBLACION,SIBAGAT,,BXU2,DEL
SAN VICENTE,SIBAGAT,,BXU2,DEL
BATUKAN,TALACOGON,,BXU2,DEL
CAMP PTFI,TALACOGON,,BXU2,DEL
DEL MONTE,TALACOGON,,BXU2,DEL
KAUSWAGAN,TALACOGON,,BXU2,DEL
LABNIG,TALACOGON,,BXU2,DEL
POBLACION,TALACOGON,,BXU2,DEL
POBLACION PROPER,TALACOGON,,BXU2,DEL
POBLACION TALACOGON,TALACOGON,,BXU2,DEL
SAN AGUSTIN,TALACOGON,,BXU2,DEL
SAN ISIDRO,TALACOGON,,BXU2,DEL
SAN NICOLAS,TALACOGON,,BXU2,DEL
SAN RAFAEL,TALACOGON,,BXU2,DEL
SAN VICENTE,TALACOGON,,BXU2,DEL
"SITIO BAYLO, ZILLOVIA",TALACOGON,,BXU2,DEL
UNSAYAWON,TALACOGON,,BXU2,DEL
ZILLOVIA,TALACOGON,,BXU2,DEL
CROSSING BASA,TRENTO,,BXU2,DEL
CROSSING CUEVAS,TRENTO,,BXU2,DEL
"CROSSING KAHIAN, KAPATUNGAN",TRENTO,,BXU2,DEL
CROSSING MANAT,TRENTO,,BXU2,DEL
CUEVAS PROPER,TRENTO,,BXU2,DEL
KAPATUNGAN,TRENTO,,BXU2,DEL
LANGKILAAN,TRENTO,,BXU2,DEL
POBLACION,TRENTO,,BXU2,DEL
PULANG LUPA,TRENTO,,BXU2,DEL
"SITIO MAITOM, LANGKILAAN",TRENTO,,BXU2,DEL
BINONGAHAN,VERUELA,,BXU2,DEL
POBLACION ONLY,VERUELA,,BXU2,DEL
SAMPAGUITA,VERUELA,,BXU2,DEL
AGUADA,ISABELA,,BAS,DEL
ANYWHERE,ISABELA,,BAS,DEL
BEGANG,ISABELA,,BAS,DEL
BINUANGAN,ISABELA,,BAS,DEL
BUSAY,ISABELA,,BAS,DEL
CABUNBATA,ISABELA,,BAS,DEL
CALLE POSPORO,ISABELA,,BAS,DEL
DONA ROMANA T. ALANO,ISABELA,,BAS,DEL
ISABELA,ISABELA,,BAS,DEL
KAUNPURNAH / ZONE II,ISABELA,,BAS,DEL
KAUNPURNAH / ZONE III,ISABELA,,BAS,DEL
LA PIEDAD,ISABELA,,BAS,DEL
LANOTE / LOWER,ISABELA,,BAS,DEL
MARKETSIDE,ISABELA,,BAS,DEL
MENZI,ISABELA,,BAS,DEL
MILITAR,ISABELA,,BAS,DEL
POBLACION,ISABELA,,BAS,DEL
PORT AREA,ISABELA,,BAS,DEL
RIVERSIDE,ISABELA,,BAS,DEL
SAN RAFAEL,ISABELA,,BAS,DEL
SANTA CRUZ POBLACION,ISABELA,,BAS,DEL
SEASIDE POBLACION,ISABELA,,BAS,DEL
SUMAGDANG,ISABELA,,BAS,DEL
SUNRISE VILLAGE POBLACION,ISABELA,,BAS,DEL
TABUK,ISABELA,,BAS,DEL
TIMPUL,ISABELA,,BAS,DEL
WAYERHOUSER,ISABELA,,BAS,DEL
ANYWHERE,LAMITAN,,BAS,DEL
BALAGTASAN,LAMITAN,,BAS,DEL
BALOBO LOWER,LAMITAN,,BAS,DEL
BAROY,LAMITAN,,BAS,DEL
BATO,LAMITAN,,BAS,DEL
CAMPO UNO,LAMITAN,,BAS,DEL
CAWA-CAWA,LAMITAN,,BAS,DEL
COLONIA,LAMITAN,,BAS,DEL
ISLA VERDE,LAMITAN,,BAS,DEL
KULAY BATO,LAMITAN,,BAS,DEL
LAGUNDI,LAMITAN,,BAS,DEL
LAGUSAN,LAMITAN,,BAS,DEL
LEBBUH,LAMITAN,,BAS,DEL
LIMO-OK,LAMITAN,,BAS,DEL
MALO-ONG SAN JOSE,LAMITAN,,BAS,DEL
SANTA CLARA,LAMITAN,,BAS,DEL
SENGAL,LAMITAN,,BAS,DEL
UBIT,LAMITAN,,BAS,DEL
CALLE BASA,MALUSO,,BAS,DEL
CONCEPCION (KM 14),MALUSO,,BAS,DEL
LOWER PORT HOLAND,MALUSO,,BAS,DEL
MATARLING,MALUSO,,BAS,DEL
NEW ROAD,MALUSO,,BAS,DEL
PAMUKALIN,MALUSO,,BAS,DEL
SHIPYARD,MALUSO,,BAS,DEL
SHIPYARD TABUK,MALUSO,,BAS,DEL
TOWNSITE,MALUSO,,BAS,DEL
UPPER PORT HOLLAND,MALUSO,,BAS,DEL
IMBATOG,BAUNGON,,BKN,DEL
LIBORAN,BAUNGON,,BKN,DEL
MAASIN,BAUNGON,,BKN,DEL
PHILAGRO,BAUNGON,,BKN,DEL
AGUSAN CANYON,CAMP PHILIPS,,BKN,DEL
ARTAJO VILLAGE SUBDIVISION ALA-E,CAMP PHILIPS,,BKN,DEL
CAMP 1,CAMP PHILIPS,,BKN,DEL
CAMP 9,CAMP PHILIPS,,BKN,DEL
CAMP FABIAN,CAMP PHILIPS,,BKN,DEL
CAMP PHILIPS PROPER CAMP 2,CAMP PHILIPS,,BKN,DEL
CROSSING ALA-E,CAMP PHILIPS,,BKN,DEL
CROSSING BALUBAL,CAMP PHILIPS,,BKN,DEL
CROSSING LIBONA,CAMP PHILIPS,,BKN,DEL
DAMILAG INCLUDING HOUSING,CAMP PHILIPS,,BKN,DEL
MAMBATANGAN,CAMP PHILIPS,,BKN,DEL
MIRANDA,CAMP PHILIPS,,BKN,DEL
SAN MIGUEL,CAMP PHILIPS,,BKN,DEL
OLD DAMULOG,DAMULOG,,BKN,DEL
POBLACION DAMULOG,DAMULOG,,BKN,DEL
SAMPAGAR,DAMULOG,,BKN,DEL
BARUNGCOT,DANGCAGAN,,BKN,DEL
LOURDES,DANGCAGAN,,BKN,DEL
POBLACION,DANGCAGAN,,BKN,DEL
DON CARLOS NORTE,DON CARLOS,,BKN,DEL
DON CARLOS SUR,DON CARLOS,,BKN,DEL
KASINGKOT,DON CARLOS,,BKN,ODZ
LAKE PINAMALOY,DON CARLOS,,BKN,DEL
PINAMALOY,DON CARLOS,,BKN,DEL
POBLACION,DON CARLOS,,BKN,DEL
SINANGGUYAN,DON CARLOS,,BKN,DEL
CAPITAN BAYONG ALL POUTRY FARM,IMPASUG-ONG,,BKN,ODZ
CAPITAN BAYONG HIGHWAY,IMPASUG-ONG,,BKN,DEL
CAWAYAN,IMPASUG-ONG,,BKN,ODZ
DUMALAGUING,IMPASUG-ONG,,BKN,ODZ
IMPALUTAO HIGHWAY,IMPASUG-ONG,,BKN,DEL
INTAVAS,IMPASUG-ONG,,BKN,ODZ
KAANIB,IMPASUG-ONG,,BKN,DEL
KALABUGAO,IMPASUG-ONG,,BKN,ODZ
KIBENTON,IMPASUG-ONG,,BKN,ODZ
KUBAYAN,IMPASUG-ONG,,BKN,ODZ
LA FORTUNA,IMPASUG-ONG,,BKN,DEL
POBLACION,IMPASUG-ONG,,BKN,DEL
PUROK KILABLAB,IMPASUG-ONG,,BKN,ODZ
SAN ANTONIO,IMPASUG-ONG,,BKN,DEL
SAN JUAN,IMPASUG-ONG,,BKN,ODZ
SANTA ANA,IMPASUG-ONG,,BKN,DEL
SITIO MALUBOG,IMPASUG-ONG,,BKN,ODZ
BANGBANG,KALILANGAN,,BKN,DEL
CENTRAL POBLACION,KALILANGAN,,BKN,DEL
KINURA,KALILANGAN,,BKN,DEL
WEST POBLACION,KALILANGAN,,BKN,DEL
LABUANGON,KIBAWE,,BKN,DEL
NATULONGAN,KIBAWE,,BKN,DEL
PALMA,KIBAWE,,BKN,DEL
POBLACION,KIBAWE,,BKN,DEL
SPRING,KIBAWE,,BKN,DEL
TALAHIRON,KIBAWE,,BKN,DEL
WEST KIBAWE,KIBAWE,,BKN,DEL
BAGONG SILANG,KITAOTAO,,BKN,DEL
BUDA,KITAOTAO,,BKN,DEL
MAGSAYSAY,KITAOTAO,,BKN,DEL
POBLACION,KITAOTAO,,BKN,DEL
SINUDA,KITAOTAO,,BKN,DEL
TAWAS,KITAOTAO,,BKN,DEL
ALANIB HIGHWAY,LANTAPAN,,BKN,DEL
BABAHAGON HIGHWAY,LANTAPAN,,BKN,DEL
BALILA HIGHWAY,LANTAPAN,,BKN,DEL
BANTUANON HIGHWAY,LANTAPAN,,BKN,DEL
BUGCA-ON HIGHWAY,LANTAPAN,,BKN,DEL
